x,y,ang_contr,pdoa,imu_x_g,imu_y_g,imu_z_g
4.312229,-2.817483,14.1865,-15.12,-0.0273,0.1445,-0.1646
4.301669,-2.888767,13.6525,-5.34,-0.0273,0.1445,-0.1646
4.261315,-3.166474,11.7966,-5.34,-0.0273,0.1445,-0.1646
4.268412,-3.114418,12.113,-5.34,-0.0273,0.1445,-0.1646
4.299931,-2.88559,13.6344,-10.5,-0.0273,0.1445,-0.1646
4.340377,-2.606958,15.8546,-10.5,-0.0273,0.1445,-0.1646
4.310877,-2.797441,14.258,-10.5,-0.0273,0.1445,-0.1646
4.167091,-3.796777,8.495,-10.28,-0.0273,0.1445,-0.1646
4.265239,-2.91351,12.8618,-10.28,-0.0273,0.1445,-0.1646
4.278867,-2.817391,13.5475,-10.28,-0.0273,0.1445,-0.1646
4.329706,-2.465003,16.4902,-10.28,-0.0273,0.1445,-0.1646
4.167397,-3.536927,9.1138,-10.36,-0.0273,0.1445,-0.1646
4.218351,-2.824557,12.3484,-8.11,-0.0938,0.0938,-0.1646
4.160387,-3.252253,9.7765,-8.11,-0.0938,0.0938,-0.1646
4.182465,-3.075804,10.7231,-8.11,-0.0938,0.0938,-0.1646
4.096161,-3.746551,7.5439,-9.78,-0.0938,0.0938,-0.1646
4.141824,-3.329457,9.2431,-9.78,-0.0938,0.0938,-0.1646
4.053226,-4.069371,6.3551,-9.78,-0.0938,0.0938,-0.1646
3.982725,-4.776859,4.5808,-9.78,-0.0938,0.0938,-0.1646
3.98937,-4.698986,4.7369,5.34,-0.0938,0.0938,-0.1646
3.991244,-4.67742,4.7814,5.34,-0.0938,0.0938,-0.1646
3.98937,-4.698986,4.7369,5.34,-0.0938,0.0938,-0.1646
3.867477,3.579272,175.7263,5.34,-0.0938,0.0938,-0.1646
3.88628,3.449113,175.2553,5.34,-0.0938,0.0938,-0.1646
3.824212,3.905774,176.7145,-2.26,-0.0938,0.0938,-0.1646
3.812795,4.003504,176.9575,-2.26,-0.0938,0.0938,-0.1646
3.774773,4.3468,177.6975,-2.26,-0.0938,0.0938,-0.1646
3.763531,4.464079,177.902,-7.32,-0.0938,0.0938,-0.1646
3.744634,4.670839,178.2264,-7.32,-0.0938,0.0938,-0.1646
3.788723,4.168018,177.4075,-7.32,-0.0938,0.0938,-0.1646
3.877534,3.308601,175.2051,-7.32,-0.0938,0.0938,-0.1646
3.914335,3.048816,174.1136,-7.32,-0.0938,0.0938,-0.1646
3.916531,3.034902,174.0457,6.24,-0.0938,0.0938,-0.1646
3.920552,2.849114,173.5807,6.24,-0.0938,0.0938,-0.1646
3.883467,3.180466,174.9068,6.24,-0.0938,0.0938,-0.1646
3.921055,2.812034,173.4866,6.24,0.0664,0.0469,-0.1646
3.885673,3.126733,174.7797,2.14,0.0664,0.0469,-0.1646
3.861115,3.364091,175.5617,2.14,0.0664,0.0469,-0.1646
3.876655,3.204123,175.0651,2.14,0.0664,0.0469,-0.1646
3.905414,2.919432,174.0278,2.14,0.0664,0.0469,-0.1646
3.956384,2.447243,171.7144,5.56,0.0664,0.0469,-0.1646
3.927283,2.685857,173.0525,5.56,0.0664,0.0469,-0.1646
3.93819,2.591102,172.5638,5.56,0.0664,0.0469,-0.1646
3.939516,2.579851,172.5028,5.56,0.0664,0.0469,-0.1646
3.947752,2.510171,172.1126,8.28,0.0664,0.0469,-0.1646
3.932038,2.640981,172.8341,8.28,0.0664,0.0469,-0.1646
3.931071,2.64905,172.8763,8.28,0.0664,0.0469,-0.1646
3.937355,2.595071,172.5932,12.54,0.0664,0.0469,-0.1646
3.956772,2.429893,171.6472,12.54,0.0664,0.0469,-0.1646
3.956772,2.429893,171.6472,2.42,0.0664,0.0469,-0.1646
3.956772,2.429893,171.6472,2.42,0.0664,0.0469,-0.1646
3.964018,3.574155,174.1846,2.42,0.0664,0.0469,-0.1646
3.964661,3.570146,174.1679,2.42,0.0664,0.0469,-0.1646
3.964018,3.574155,174.1846,8.76,0.0664,0.0469,-0.1646
3.914888,3.576835,174.9689,8.76,0.0664,0.0469,-0.1646
3.903854,3.649292,175.2403,13.72,0.0664,0.0469,-0.1646
3.920576,3.534057,174.8169,13.72,0.0664,0.0469,-0.1646
3.907423,3.619415,175.1451,13.72,0.0664,0.0469,-0.1646
3.916811,3.554648,174.9069,13.72,-0.0352,0.1055,-0.1646
3.925225,3.498495,174.689,1.54,-0.0352,0.1055,-0.1646
3.933096,3.447489,174.4812,1.54,-0.0352,0.1055,-0.1646
3.927321,3.483895,174.6327,1.54,-0.0352,0.1055,-0.1646
3.909955,3.595725,175.0732,4.0,-0.0352,0.1055,-0.1646
3.968315,3.209028,173.4526,4.0,-0.0352,0.1055,-0.1646
3.937855,3.400667,174.3263,4.0,-0.0352,0.1055,-0.1646
3.928095,3.466279,174.5929,4.94,-0.0352,0.1055,-0.1646
3.942215,3.369038,174.2,4.94,-0.0352,0.1055,-0.1646
3.916434,3.540147,174.8922,4.94,-0.0352,0.1055,-0.1646
3.88757,3.751257,175.6163,4.94,-0.0352,0.1055,-0.1646
3.958477,3.166578,173.5413,3.2,-0.0352,0.1055,-0.1646
3.979336,3.032146,172.8691,3.2,-0.0352,0.1055,-0.1646
3.92914,3.329207,174.3538,3.2,-0.0352,0.1055,-0.1646
3.945792,3.203108,173.8385,2.104,-0.0352,0.1055,-0.1646
3.929047,3.323507,174.3458,2.104,-0.0352,0.1055,-0.1646
3.907472,3.487206,174.9612,2.104,-0.0352,0.1055,-0.1646
3.941234,3.21171,173.9353,2.104,-0.0352,0.1055,-0.1646
3.950115,3.146886,173.6515,2.124,-0.0352,0.1055,-0.1646
3.929662,3.292355,174.2821,2.124,-0.0352,0.1055,-0.1646
3.923403,3.339755,174.469,2.124,-0.0352,0.1055,-0.1646
3.93453,3.25379,174.1299,2.124,-0.0352,0.1055,-0.1646
3.936572,3.238557,174.0667,-1.68,-0.0352,0.1055,-0.1646
3.93453,3.25379,174.1299,-1.68,-0.0352,0.1055,-0.1646
3.905212,3.577344,175.1234,-1.68,0.0508,0.1914,-0.1647
3.895265,3.643433,175.3669,3.72,0.0508,0.1914,-0.1647
3.886769,3.701653,175.5701,3.72,0.0508,0.1914,-0.1647
3.920689,3.45834,174.7022,3.72,0.0508,0.1914,-0.1647
3.916429,3.485739,174.813,3.34,0.0508,0.1914,-0.1647
3.918658,3.471148,174.7548,3.34,0.0508,0.1914,-0.1647
3.907486,3.543435,175.0405,3.34,0.0508,0.1914,-0.1647
3.931745,3.37855,174.392,3.34,0.0508,0.1914,-0.1647
3.917558,3.465695,174.7647,2.78,0.0508,0.1914,-0.1647
3.914672,3.485423,174.8412,2.78,0.0508,0.1914,-0.1647
3.931417,3.369806,174.3831,2.78,0.0508,0.1914,-0.1647
3.915805,3.471607,174.8022,2.78,0.0508,0.1914,-0.1647
3.927823,3.388312,174.4738,2.78,0.0508,0.1914,-0.1647
3.893581,3.615954,175.3583,3.52,0.0508,0.1914,-0.1647
3.903738,3.538574,175.094,3.52,0.0508,0.1914,-0.1647
3.899061,3.572953,175.2154,3.52,0.0508,0.1914,-0.1647
3.935447,3.300075,174.1959,2.42,0.0508,0.1914,-0.1647
3.904652,3.492737,175.015,2.42,0.0508,0.1914,-0.1647
3.904064,3.4972,175.0309,2.74,0.0508,0.1914,-0.1647
3.956455,3.574578,174.3053,2.74,0.0508,0.1914,-0.1647
3.955181,3.582581,174.3381,2.74,0.0508,0.1914,-0.1647
3.952248,3.601103,174.4133,0.36,0.0508,0.1914,-0.1647
3.930374,3.739865,174.9517,0.36,0.0508,0.1914,-0.1647
3.922375,3.795823,175.1456,0.36,0.0508,0.1914,-0.1647
3.928124,3.754429,175.0052,0.36,0.0508,0.1914,-0.1647
3.900421,3.950312,175.651,0.88,0.0508,0.1914,-0.1647
3.913808,3.845492,175.3348,0.88,0.0508,0.1914,-0.1647
3.922071,3.783833,175.1348,0.88,0.0508,0.1914,-0.1647
3.927994,3.74091,174.9893,0.88,0.0508,0.1914,-0.1647
3.929526,3.730033,174.9514,-3.112,0.0508,0.1914,-0.1647
3.914068,3.839213,175.3233,-3.112,0.0508,0.1914,-0.1647
3.934875,3.683644,174.8056,-3.112,0.0508,0.1914,-0.1647
3.926088,3.744712,175.0233,-3.112,0.0508,0.1914,-0.1647
3.927627,3.733678,174.9852,0.106,0.0508,0.1914,-0.1647
3.913871,3.82377,175.3075,0.106,0.0508,0.1914,-0.1647
3.868766,4.166518,176.3092,0.106,0.0508,0.1914,-0.1647
3.896659,3.868541,175.6149,0.106,-0.0156,0.1328,-0.1646
3.921913,3.664336,174.9794,0.106,-0.0156,0.1328,-0.1646
3.891256,3.891735,175.72,0.3,-0.0156,0.1328,-0.1646
3.91762,3.673763,175.0587,0.3,-0.0156,0.1328,-0.1646
3.879957,3.9588,175.9549,0.3,-0.0156,0.1328,-0.1646
3.937126,3.458167,174.432,0.3,-0.0156,0.1328,-0.1646
3.952498,3.349285,173.992,-2.7,-0.0156,0.1328,-0.1646
3.909529,3.640121,175.1397,-2.7,-0.0156,0.1328,-0.1646
3.924217,3.524881,174.7447,-2.7,-0.0156,0.1328,-0.1646
